Ano;Mês;Operação;Região;Volume(mil m³)
2021;12;VENDA;S ;22,234821999999998
2017;2;VENDA;CO;8,9209630000000004
2017;3;VENDA;CO;12,1904
2017;4;VENDA;SE;48,17407
2017;5;VENDA;N ;8,4129869999999993
2017;5;DISPENSADO;N ;0,83451799999999998
2017;6;VENDA;CO;12,001265999999999
2017;6;DISPENSADO;NE;1,191764
2019;2;DISPENSADO;SE;14,007346
2019;2;VENDA;SE;52,679290999999999
2017;8;VENDA;N ;8,9743829999999996
2017;9;VENDA;SE;55,804587999999995
2017;9;VENDA;S ;21,660125999999998
2017;10;VENDA;SE;57,118932999999998
2017;11;DISPENSADO;CO;1,060705
2020;11;DISPENSADO;SE;17,682376999999999
2017;12;DISPENSADO;S ;5,9456729999999993
2017;12;VENDA;N ;7,7578869999999993
2017;12;DISPENSADO;CO;2,3506589999999998
2020;11;VENDA;CO;13,442231999999999
2018;3;VENDA;NE;16,591736999999998
2018;4;VENDA;S ;21,319934999999997
2018;5;VENDA;SE;46,901723999999994
2018;5;DISPENSADO;CO;1,0012649999999998
2018;5;DISPENSADO;S ;3,3790739999999997
2018;6;VENDA;NE;14,912901
2018;6;DISPENSADO;NE;1,3362849999999999
2018;6;VENDA;SE;60,591529999999999
2018;7;VENDA;N ;8,7303079999999991
2018;7;DISPENSADO;N ;1,2497229999999999
2018;8;VENDA;N ;8,8465849999999993
2020;12;VENDA;SE;55,625906000000001
2020;5;VENDA;CO;10,544015
2018;10;DISPENSADO;CO;0,96075299999999997
2022;5;VENDA;S ;26,061487
2022;5;VENDA;NE;13,745006
2022;5;VENDA;N ;10,290956999999999
2021;9;DISPENSADO;S ;5,4653879999999999
2021;9;VENDA;NE;14,313101
2018;11;DISPENSADO;NE;1,130188
2021;10;VENDA;NE;15,143834
2018;12;DISPENSADO;SE;11,008398999999999
2019;1;VENDA;NE;14,825068
2019;1;DISPENSADO;S ;4,3473679999999995
2019;1;VENDA;N ;8,4938450000000003
2019;1;DISPENSADO;SE;13,621706
2019;3;DISPENSADO;CO;0,72497499999999993
2019;4;DISPENSADO;CO;0,85290999999999995
2019;5;DISPENSADO;S ;5,3894669999999998
2019;5;DISPENSADO;N ;1,0032140000000001
2019;5;VENDA;N ;9,3725629999999995
2019;6;VENDA;CO;11,214551999999999
2019;6;DISPENSADO;N ;0,96161599999999992
2019;7;DISPENSADO;CO;0,93806999999999996
2019;8;DISPENSADO;SE;14,683988999999999
2019;9;VENDA;SE;65,453384999999997
2019;9;VENDA;N ;11,253722999999999
2019;9;DISPENSADO;N ;0,82782
2019;10;DISPENSADO;N ;1,1410369999999999
2019;11;VENDA;NE;13,017296
2021;3;DISPENSADO;CO;1,4836909999999999
2021;5;DISPENSADO;NE;1,243922
2022;7;VENDA;NE;7,2145659999999996
2021;6;DISPENSADO;SE;15,684937
2022;3;DISPENSADO;S ;6,9647139999999998
2022;3;DISPENSADO;NE;1,0769739999999999
2022;4;VENDA;CO;13,063739999999999
2021;12;VENDA;N ;9,8787690000000001
2022;4;VENDA;N ;10,430244
2022;3;VENDA;NE;16,480885000000001
2022;4;DISPENSADO;NE;1,0281039999999999
