Ano;Mês;Código do Produto;Descrição do Produto;Região do Produtor;UF do Produtor;Código da Operação;Descrição da Operação;Volume(L)
2016;1;620501002;CICLO DIESEL;NORDESTE;CE;1021004;PRODUÇÃO POR MISTURA;21928
2016;1;620501002;CICLO DIESEL;NORTE;AM;1021004;PRODUÇÃO POR MISTURA;53596
2016;1;620501002;CICLO DIESEL;SUDESTE;MG;1021004;PRODUÇÃO POR MISTURA;4720544
2016;1;620501002;CICLO DIESEL;SUDESTE;MG;1022015;SAÍDA PARA PRODUÇÃO POR MISTURA;-2387331
2016;1;620501002;CICLO DIESEL;SUDESTE;RJ;1021004;PRODUÇÃO POR MISTURA;24006670
2016;1;620501002;CICLO DIESEL;SUDESTE;RJ;1022015;SAÍDA PARA PRODUÇÃO POR MISTURA;-4641009
2016;1;620501002;CICLO DIESEL;SUDESTE;SP;1021004;PRODUÇÃO POR MISTURA;1560085
2016;1;620501002;CICLO DIESEL;SUDESTE;SP;1022015;SAÍDA PARA PRODUÇÃO POR MISTURA;-72169
2016;1;620501002;CICLO DIESEL;SUL;PR;1021004;PRODUÇÃO POR MISTURA;106520
2016;1;620502001;MOTORES 2 TEMPOS;NORDESTE;CE;1021004;PRODUÇÃO POR MISTURA;646
2016;1;620502001;MOTORES 2 TEMPOS;SUDESTE;MG;1021004;PRODUÇÃO POR MISTURA;39296
2016;1;620502001;MOTORES 2 TEMPOS;SUDESTE;MG;1022015;SAÍDA PARA PRODUÇÃO POR MISTURA;-31632
2016;1;620502001;MOTORES 2 TEMPOS;SUDESTE;RJ;1021004;PRODUÇÃO POR MISTURA;1037340
2016;1;620502001;MOTORES 2 TEMPOS;SUDESTE;RJ;1022015;SAÍDA PARA PRODUÇÃO POR MISTURA;-64807
2016;1;620502001;MOTORES 2 TEMPOS;SUDESTE;SP;1021004;PRODUÇÃO POR MISTURA;76677
2016;1;620502001;MOTORES 2 TEMPOS;SUDESTE;SP;1022015;SAÍDA PARA PRODUÇÃO POR MISTURA;-7822
2016;1;620502001;MOTORES 2 TEMPOS;SUL;PR;1021004;PRODUÇÃO POR MISTURA;981
2016;1;620502001;MOTORES 2 TEMPOS;SUL;RS;1021004;PRODUÇÃO POR MISTURA;3116
2016;1;620503001;TRANSMISSÕES E SISTEMAS HIDRÁULICOS;CENTRO OESTE;GO;1021004;PRODUÇÃO POR MISTURA;9988
2016;1;620503001;TRANSMISSÕES E SISTEMAS HIDRÁULICOS;NORDESTE;CE;1021004;PRODUÇÃO POR MISTURA;55908
2016;1;620503001;TRANSMISSÕES E SISTEMAS HIDRÁULICOS;NORTE;AM;1021004;PRODUÇÃO POR MISTURA;44780
2016;1;620503001;TRANSMISSÕES E SISTEMAS HIDRÁULICOS;SUDESTE;MG;1021004;PRODUÇÃO POR MISTURA;4851553
2016;1;620503001;TRANSMISSÕES E SISTEMAS HIDRÁULICOS;SUDESTE;MG;1022015;SAÍDA PARA PRODUÇÃO POR MISTURA;-2604699
2016;1;620503001;TRANSMISSÕES E SISTEMAS HIDRÁULICOS;SUDESTE;RJ;1021004;PRODUÇÃO POR MISTURA;16359113
2016;1;620503001;TRANSMISSÕES E SISTEMAS HIDRÁULICOS;SUDESTE;RJ;1022015;SAÍDA PARA PRODUÇÃO POR MISTURA;-2558744
2016;1;620503001;TRANSMISSÕES E SISTEMAS HIDRÁULICOS;SUDESTE;SP;1021004;PRODUÇÃO POR MISTURA;1899591
2016;1;620503001;TRANSMISSÕES E SISTEMAS HIDRÁULICOS;SUDESTE;SP;1022015;SAÍDA PARA PRODUÇÃO POR MISTURA;-236108
2016;1;620503001;TRANSMISSÕES E SISTEMAS HIDRÁULICOS;SUL;PR;1021004;PRODUÇÃO POR MISTURA;217736
2016;1;620503001;TRANSMISSÕES E SISTEMAS HIDRÁULICOS;SUL;RS;1021004;PRODUÇÃO POR MISTURA;48600
2016;1;620601004;OUTROS ÓLEOS LUBRIFICANTES ACABADOS;CENTRO OESTE;MS;1021004;PRODUÇÃO POR MISTURA;14940
2016;1;620601004;OUTROS ÓLEOS LUBRIFICANTES ACABADOS;CENTRO OESTE;MT;1021004;PRODUÇÃO POR MISTURA;15104
2016;1;620601004;OUTROS ÓLEOS LUBRIFICANTES ACABADOS;SUDESTE;MG;1021004;PRODUÇÃO POR MISTURA;2236593
2016;1;620601004;OUTROS ÓLEOS LUBRIFICANTES ACABADOS;SUDESTE;MG;1022015;SAÍDA PARA PRODUÇÃO POR MISTURA;-1042718
2016;1;620601004;OUTROS ÓLEOS LUBRIFICANTES ACABADOS;SUDESTE;RJ;1021004;PRODUÇÃO POR MISTURA;4293307
2016;1;620601004;OUTROS ÓLEOS LUBRIFICANTES ACABADOS;SUDESTE;RJ;1022015;SAÍDA PARA PRODUÇÃO POR MISTURA;-606090
2016;1;620601004;OUTROS ÓLEOS LUBRIFICANTES ACABADOS;SUDESTE;SP;1021004;PRODUÇÃO POR MISTURA;8750732
2016;1;620601004;OUTROS ÓLEOS LUBRIFICANTES ACABADOS;SUDESTE;SP;1022015;SAÍDA PARA PRODUÇÃO POR MISTURA;-3383221
2016;1;620601004;OUTROS ÓLEOS LUBRIFICANTES ACABADOS;SUL;PR;1021004;PRODUÇÃO POR MISTURA;138678
2016;1;620601004;OUTROS ÓLEOS LUBRIFICANTES ACABADOS;SUL;RS;1021004;PRODUÇÃO POR MISTURA;109397
2016;2;620101002;ENGRENAGENS E SISTEMAS CIRCULATÓRIOS;CENTRO OESTE;MS;1021004;PRODUÇÃO POR MISTURA;4040
2016;2;620101002;ENGRENAGENS E SISTEMAS CIRCULATÓRIOS;NORDESTE;CE;1021004;PRODUÇÃO POR MISTURA;14400
2016;2;620101002;ENGRENAGENS E SISTEMAS CIRCULATÓRIOS;SUDESTE;MG;1021004;PRODUÇÃO POR MISTURA;155263
2016;2;620101002;ENGRENAGENS E SISTEMAS CIRCULATÓRIOS;SUDESTE;MG;1022015;SAÍDA PARA PRODUÇÃO POR MISTURA;-77500
2016;2;620101002;ENGRENAGENS E SISTEMAS CIRCULATÓRIOS;SUDESTE;RJ;1021004;PRODUÇÃO POR MISTURA;2943824
2016;2;620101002;ENGRENAGENS E SISTEMAS CIRCULATÓRIOS;SUDESTE;RJ;1022015;SAÍDA PARA PRODUÇÃO POR MISTURA;-464452
2016;2;620101002;ENGRENAGENS E SISTEMAS CIRCULATÓRIOS;SUDESTE;SP;1021004;PRODUÇÃO POR MISTURA;726466
2016;2;620101002;ENGRENAGENS E SISTEMAS CIRCULATÓRIOS;SUDESTE;SP;1022015;SAÍDA PARA PRODUÇÃO POR MISTURA;-106022
2016;2;620101002;ENGRENAGENS E SISTEMAS CIRCULATÓRIOS;SUL;PR;1021004;PRODUÇÃO POR MISTURA;1352
2016;2;620101002;ENGRENAGENS E SISTEMAS CIRCULATÓRIOS;SUL;RS;1021004;PRODUÇÃO POR MISTURA;352133
2016;2;620101004;ISOLANTE TIPO A;SUDESTE;RJ;1021004;PRODUÇÃO POR MISTURA;1037161
2016;2;620101004;ISOLANTE TIPO A;SUDESTE;RJ;1022015;SAÍDA PARA PRODUÇÃO POR MISTURA;-101354
2016;2;620101004;ISOLANTE TIPO A;SUDESTE;SP;1021004;PRODUÇÃO POR MISTURA;1800
2016;2;620101004;ISOLANTE TIPO A;SUDESTE;SP;1022015;SAÍDA PARA PRODUÇÃO POR MISTURA;-29885
2016;2;620101005;ISOLANTE TIPO B;SUDESTE;SP;1021004;PRODUÇÃO POR MISTURA;29018
2016;2;620101005;ISOLANTE TIPO B;SUDESTE;SP;1022015;SAÍDA PARA PRODUÇÃO POR MISTURA;-24324
2016;2;620301001;ÓLEOS LUBRIFICANTES MARÍTIMOS;SUDESTE;RJ;1021004;PRODUÇÃO POR MISTURA;3761362
2016;2;620301001;ÓLEOS LUBRIFICANTES MARÍTIMOS;SUDESTE;RJ;1022015;SAÍDA PARA PRODUÇÃO POR MISTURA;-687640
2016;2;620301001;ÓLEOS LUBRIFICANTES MARÍTIMOS;SUDESTE;SP;1021004;PRODUÇÃO POR MISTURA;301588
2016;2;620301001;ÓLEOS LUBRIFICANTES MARÍTIMOS;SUDESTE;SP;1022015;SAÍDA PARA PRODUÇÃO POR MISTURA;-106200
2016;2;620401001;ÓLEOS LUBRIFICANTES FERROVIÁRIOS;SUDESTE;RJ;1021004;PRODUÇÃO POR MISTURA;1076625
2016;2;620401001;ÓLEOS LUBRIFICANTES FERROVIÁRIOS;SUDESTE;RJ;1022015;SAÍDA PARA PRODUÇÃO POR MISTURA;-114962
2016;2;620501001;CICLO OTTO;CENTRO OESTE;MS;1021004;PRODUÇÃO POR MISTURA;77571
2016;2;620501001;CICLO OTTO;CENTRO OESTE;MT;1021004;PRODUÇÃO POR MISTURA;4872
2016;2;620501001;CICLO OTTO;NORDESTE;CE;1021004;PRODUÇÃO POR MISTURA;58416
2016;2;620501001;CICLO OTTO;NORTE;AM;1021004;PRODUÇÃO POR MISTURA;24384
2016;2;620501001;CICLO OTTO;SUDESTE;MG;1021004;PRODUÇÃO POR MISTURA;6534258
2016;2;620501001;CICLO OTTO;SUDESTE;MG;1022015;SAÍDA PARA PRODUÇÃO POR MISTURA;-3263675
2016;2;620501001;CICLO OTTO;SUDESTE;RJ;1021004;PRODUÇÃO POR MISTURA;28147403
2016;2;620501001;CICLO OTTO;SUDESTE;RJ;1022015;SAÍDA PARA PRODUÇÃO POR MISTURA;-7289787
2016;2;620501001;CICLO OTTO;SUDESTE;SP;1021004;PRODUÇÃO POR MISTURA;4793344
2016;2;620501001;CICLO OTTO;SUDESTE;SP;1022015;SAÍDA PARA PRODUÇÃO POR MISTURA;-284568
2016;2;620501001;CICLO OTTO;SUL;PR;1021004;PRODUÇÃO POR MISTURA;205221
2016;2;620501001;CICLO OTTO;SUL;RS;1021004;PRODUÇÃO POR MISTURA;4306
2016;2;620501002;CICLO DIESEL;CENTRO OESTE;MS;1021004;PRODUÇÃO POR MISTURA;16469
2016;2;620501002;CICLO DIESEL;CENTRO OESTE;MT;1021004;PRODUÇÃO POR MISTURA;8444
2016;2;620501002;CICLO DIESEL;NORDESTE;CE;1021004;PRODUÇÃO POR MISTURA;63044
